,Num,CurrentConfirmedCount,ConfirmedCount,CuredCount,DeadCount,DateType,DiffConfirmedCount,Num,CurrentConfirmedCount,ConfirmedCount,CuredCount,DeadCount,DateType,DiffConfirmedCount
0,0.67609566,0.0,0.0,0.0,0.0,0.0,0.00025608196,0.6507305,0.0,0.0,0.0,0.0,0.0,0.00025608196
1,0.70398414,0.0,0.0,0.0,0.0,0.0,0.00025608196,0.67609566,0.0,0.0,0.0,0.0,0.0,0.00025608196
2,0.6277557,0.0,0.0,0.0,0.0,0.5,0.00025608196,0.70398414,0.0,0.0,0.0,0.0,0.0,0.00025608196
3,0.6540505,0.0,0.0,0.0,0.0,0.5,0.00025608196,0.6277557,0.0,0.0,0.0,0.0,0.5,0.00025608196
4,0.6156707,0.0,0.0,0.0,0.0,0.0,0.00025608196,0.6540505,0.0,0.0,0.0,0.0,0.5,0.00025608196
5,0.51407707,0.0,0.0,0.0,0.0,0.0,0.00025608196,0.6156707,0.0,0.0,0.0,0.0,0.0,0.00025608196
6,0.38047808,0.0,0.0,0.0,0.0,0.0,0.00025608196,0.51407707,0.0,0.0,0.0,0.0,0.0,0.00025608196
7,0.20863216,0.0,0.0,0.0,0.0,0.0,0.00025608196,0.38047808,0.0,0.0,0.0,0.0,0.0,0.00025608196
8,0.08950864,0.0,0.010097358,0.00043500957,0.005590196,1.0,0.22202305,0.20863216,0.0,0.0,0.0,0.0,0.0,0.00025608196
9,0.0500664,0.0,0.015437532,0.0004722961,0.008815309,1.0,0.11754162,0.08950864,0.0,0.010097358,0.00043500957,0.005590196,1.0,0.22202305
10,0.043957505,0.0,0.02354107,0.0005965845,0.011825414,1.0,0.17823304,0.0500664,0.0,0.015437532,0.0004722961,0.008815309,1.0,0.11754162
11,0.032270916,0.0,0.03309042,0.0007333018,0.017630618,1.0,0.2099872,0.043957505,0.0,0.02354107,0.0005965845,0.011825414,1.0,0.17823304
12,0.032669324,0.0,0.053984724,0.0009073056,0.022790799,1.0,0.45915496,0.032270916,0.0,0.03309042,0.0007333018,0.017630618,1.0,0.2099872
13,0.03240372,0.0,0.07096135,0.0014666036,0.028380994,1.0,0.37311143,0.032669324,0.0,0.053984724,0.0009073056,0.022790799,1.0,0.45915496
14,0.021779548,0.0,0.095015444,0.001677894,0.036766287,1.0,0.5285531,0.03240372,0.0,0.07096135,0.0014666036,0.028380994,1.0,0.37311143
15,0.014608234,0.0,0.11439398,0.0022993363,0.045796603,1.0,0.4258643,0.021779548,0.0,0.095015444,0.001677894,0.036766287,1.0,0.5285531
16,0.0050464813,0.0,0.13876289,0.0034179322,0.05568695,1.0,0.5354673,0.014608234,0.0,0.11439398,0.0022993363,0.045796603,1.0,0.4258643
17,0.003851261,0.0,0.16895004,0.0053941184,0.06536229,1.0,0.66325223,0.0050464813,0.0,0.13876289,0.0034179322,0.05568695,1.0,0.5354673
18,0.003984064,0.0,0.20219202,0.006550001,0.07761772,0.0,0.7303457,0.003851261,0.0,0.16895004,0.0053941184,0.06536229,1.0,0.66325223
19,0.0022576358,0.0,0.23937503,0.008923911,0.091593206,0.0,0.81690145,0.003984064,0.0,0.20219202,0.006550001,0.07761772,0.0,0.7303457
20,0.0025232397,0.0,0.28489476,0.012652564,0.10599871,0.0,1.0,0.0022576358,0.0,0.23937503,0.008923911,0.091593206,0.0,0.81690145
21,0.0009296145,0.0,0.32808253,0.017064804,0.12126425,0.0,0.94878364,0.0025232397,0.0,0.28489476,0.012652564,0.10599871,0.0,1.0
22,0.0022576358,0.0,0.36453098,0.021787765,0.13695979,0.0,0.80076826,0.0009296145,0.0,0.32808253,0.017064804,0.12126425,0.0,0.94878364
23,0.00053120777,0.0,0.4042791,0.029518506,0.15566546,0.5,0.87323946,0.0022576358,0.0,0.36453098,0.021787765,0.13695979,0.0,0.80076826
24,0.0033200532,0.0,0.43478107,0.036043648,0.17480113,0.5,0.67016643,0.00053120777,0.0,0.4042791,0.029518506,0.15566546,0.5,0.87323946
25,0.0063745026,0.0,0.46944556,0.044134825,0.19544184,0.0,0.76158774,0.0033200532,0.0,0.43478107,0.036043648,0.17480113,0.5,0.67016643
26,0.00066401064,0.0,0.4984201,0.05345646,0.21866266,0.0,0.63661975,0.0063745026,0.0,0.46944556,0.044134825,0.19544184,0.0,0.76158774
27,0.0025232397,0.0,0.52194947,0.06296453,0.2399484,0.0,0.51702946,0.00066401064,0.0,0.4984201,0.05345646,0.21866266,0.0,0.63661975
28,0.00371846,0.0,0.6985017,0.077245265,0.2941303,0.0,0.9477593,0.0025232397,0.0,0.52194947,0.06296453,0.2399484,0.0,0.51702946
29,0.0042496677,0.9621728,0.7456421,0.08814537,0.29714042,0.0,0.84532654,0.00371846,0.0,0.6985017,0.077245265,0.2941303,0.0,0.9477593
30,0.0,0.9810257,0.77631897,0.10557061,0.32767147,0.5,0.6740077,0.0042496677,0.9621728,0.7456421,0.08814537,0.29714042,0.0,0.84532654
31,0.00066401064,0.99146676,0.79980177,0.12134281,0.35841754,0.5,0.5160051,0.0,0.9810257,0.77631897,0.10557061,0.32767147,0.5,0.6740077
32,0.007702524,0.9989073,0.8236926,0.14017251,0.38099334,0.0,0.52496797,0.00066401064,0.99146676,0.79980177,0.12134281,0.35841754,0.5,0.5160051
33,0.009030545,1.0,0.8457063,0.16161226,0.4024941,0.0,0.4837388,0.007702524,0.9989073,0.8236926,0.14017251,0.38099334,0.0,0.52496797
34,0.009296149,0.9944499,0.86613417,0.18566208,0.43195012,0.0,0.44891167,0.009030545,1.0,0.8457063,0.16161226,0.4024941,0.0,0.4837388
