,rmse,mae,r2,score,mape
0,46.39706618941772,34.39148887634278,0.9339931648468068,0.9344246748987216,0.12054653733377219
1,21.963787948783075,17.717217832292828,0.9751791299290946,0.9751791760728186,0.10712989971869097
2,58.244012480452874,42.0427687726702,0.980696982688308,0.9807607584431188,0.08903172876281779
3,36.441676224626924,26.255032828194754,0.9806182408596951,0.9806240383587501,0.0887422694974782
4,96.41824020908574,68.05194294520787,0.9865377079591481,0.9865461769758164,0.08422048461364719
5,55.392445222358596,41.003941955566404,0.9826683290412943,0.982776759725837,0.0799306103372625
6,30.316884158465612,23.814111317225866,0.954312781259935,0.955443535190053,0.08751220446760229
7,137.8728279137104,102.35899326869419,0.9014525105597305,0.901698865907254,0.1221577793402553
8,77.32695130214152,56.14407567705427,0.9551059098416502,0.9559593680063103,0.09904267798005698
9,121.24184988008523,94.69039888654436,0.9667598035540789,0.9681872737663572,0.0842944466623229
10,71.59382608090819,54.130818437848774,0.9589393173072724,0.9620377790519432,0.0813589741338521
11,79.23417900858438,60.493398219517296,0.9606143353190201,0.9634695396763139,0.0848085521821009
12,64.94870162926749,50.25354036603655,0.9785725977202506,0.9787896989114842,0.07384330540749369
13,52.3183977943968,38.38438944135393,0.981198211602432,0.9812799624045178,0.0710390961732541
14,44.670839958489886,33.11880353655134,0.9835159048078831,0.9836064328271464,0.06422941925664058
15,317.65765093939063,230.2191211809431,0.9293733118452634,0.930204773968761,0.0941189014812227
16,58.318498339955596,42.78811039515904,0.9851419266174226,0.9853128047837838,0.076386322804169
17,31.94792926420862,22.90044195992606,0.9572237938920146,0.9629012687158457,0.1272425719208976
18,45.07908069553949,33.01327120099749,0.9869489768611048,0.9869660593653374,0.08451922008885246
19,31.555890613355984,24.42190996442522,0.9638539882429504,0.964398779014808,0.08864912656635292
20,69.94399001382494,48.40374973842076,0.9616858120654228,0.9617233828324695,0.07232471549587027
21,25.933987390859084,19.608515614100863,0.9602343046676626,0.9615476635047301,0.12155222630095361
22,80.99565732486747,59.57073848179409,0.9461849546073987,0.9533056478459517,0.09912572228428229
23,38.49590857775829,30.2109814453125,0.9403740582803632,0.9404542932063342,0.11196289121499607
24,73.15651906506776,56.1499226488386,0.9039439505396661,0.9039999178634474,0.11446023194820977
25,70.37417442102219,56.863495123726985,0.9105161897955667,0.9134631061951979,0.13726663486872817
26,48.5860368291744,37.49354529244559,0.8883677344243979,0.8980875538476806,0.1534029041928976
27,41.192014622075895,30.33825653076172,0.9472631280513144,0.951042328920258,0.11914389924026955
28,18.406968645690412,14.282390387398856,0.9269684716816385,0.9288455185647039,0.13133189094429937
29,33.920702549486585,25.744466988699777,0.9314752376621984,0.9320624062086104,0.09405493303085302
30,30.715928945712008,23.686067363194056,0.9389975482196167,0.9399786792034601,0.1141189914426832
31,21.378145615878008,16.21432513645717,0.9088717083899888,0.9089149500338394,0.1458929036176829
32,27.359044313224285,21.199796251569474,0.9512390607586304,0.9513239897548087,0.10118389689709868
33,79.13749134641904,61.51072496686663,0.9227853419889595,0.9299604367488408,0.10071652934406257
34,32.00586424702482,23.829737112862723,0.9505609789369358,0.9511449583762229,0.1193387072113621
35,19.915419042846715,15.079830998011998,0.947275524140662,0.9489071813176782,0.12960744095726162
36,23.580332553681625,18.144069093976704,0.9471807351094084,0.9525062271605218,0.11639170949786534
37,36.88326972787808,27.569698333740234,0.9394969709015578,0.9469703484649057,0.09640269065153198
38,34.26301704858806,25.529271589006697,0.9408246681878432,0.940930361852854,0.0853684487355865
39,40.088289635994805,30.870389475141252,0.9421213955966842,0.9457655871442625,0.09651235796410058
40,27.22286056312472,20.240336456298827,0.9465478200823679,0.9496953538154208,0.1262666498321788
41,32.8910715931943,24.631192517961775,0.9682037273162589,0.9707129695940715,0.09339595718229045
